observation_date,G161061A027NBEA
1959-01-01,0.598
1960-01-01,0.645
1961-01-01,0.729
1962-01-01,0.724
1963-01-01,0.764
1964-01-01,0.826
1965-01-01,0.901
1966-01-01,0.962
1967-01-01,1.054
1968-01-01,1.229
1969-01-01,1.389
1970-01-01,1.528
1971-01-01,1.709
1972-01-01,1.885
1973-01-01,2.080
1974-01-01,2.382
1975-01-01,2.710
1976-01-01,2.813
1977-01-01,3.029
1978-01-01,3.437
1979-01-01,3.798
1980-01-01,4.125
1981-01-01,4.538
1982-01-01,5.027
1983-01-01,5.467
1984-01-01,5.902
1985-01-01,6.661
1986-01-01,7.170
1987-01-01,7.449
1988-01-01,7.974
1989-01-01,8.935
1990-01-01,9.837
1991-01-01,10.603
1992-01-01,11.365
1993-01-01,11.622
1994-01-01,12.438
1995-01-01,13.063
1996-01-01,13.507
1997-01-01,14.177
1998-01-01,15.025
1999-01-01,16.204
2000-01-01,17.570
2001-01-01,19.187
2002-01-01,20.800
2003-01-01,21.191
2004-01-01,22.155
2005-01-01,23.549
2006-01-01,25.502
2007-01-01,27.241
2008-01-01,28.745
2009-01-01,28.835
2010-01-01,28.510
2011-01-01,27.897
2012-01-01,27.645
2013-01-01,28.828
2014-01-01,29.990
2015-01-01,31.363
2016-01-01,33.024
2017-01-01,34.225
2018-01-01,36.233
2019-01-01,38.660
2020-01-01,38.966
2021-01-01,40.503
2022-01-01,43.363
2023-01-01,43.342
