Team,Country Code,Year,PIB
Austria,AUT,2016,318.0072
Belgium,BEL,2016,381.1002
Spain,ESP,2016,1213.874
Estonia,EST,2016,29.2015
Finland,FIN,2016,170.1131
France,FRA,2016,1987.5494
Ireland,IRL,2016,241.5633
Italy,ITA,2016,1690.5546
Lithuania,LTU,2016,61.5078
Austria,AUT,2021,359.7171
Belgium,BEL,2021,448.373
Spain,ESP,2021,1339.1816
Estonia,EST,2021,37.5677
Finland,FIN,2021,200.7213
France,FRA,2021,2272.6758
Ireland,IRL,2021,381.0925
Italy,ITA,2021,1879.3694
Lithuania,LTU,2021,82.1767
Austria,AUT,2024,421.7896
Belgium,BEL,2024,547.8379
Spain,ESP,2024,1772.9344
Estonia,EST,2024,43.14
Finland,FIN,2024,230.1453
France,FRA,2024,2678.5369
Ireland,IRL,2024,450.2854
Italy,ITA,2024,2292.1515
Lithuania,LTU,2024,100.288
