,Unnamed: 0,Year,Country,Score,Country Code,PIB_mean,HDI,Dépenses,score_précédent,taille_délégation
3,3.0,2016,Austria,1.0,AUT,48446.49019356255,0.919,2.5,11.666666666666666,71.0
4,4.0,2021,Austria,12.0,AUT,49240.05554679985,0.925,2.5,8.0,60.0
5,5.0,2024,Austria,13.0,AUT,52643.84191761055,0.93,2.4,5.666666666666667,81.0
6,6.0,2016,Belgium,16.0,BEL,45182.08720745595,0.933,2.7,6.0,104.0
7,7.0,2021,Belgium,20.0,BEL,46036.36107560797,0.939,2.5,9.0,121.0
8,8.0,2024,Belgium,23.0,BEL,50769.2180007077,0.951,2.5,13.333333333333334,165.0
15,21.0,2016,Spain,44.0,ESP,28343.87437605855,0.895,2.3,42.0,307.0
16,22.0,2021,Spain,37.0,ESP,29001.05776571585,0.901,2.4,43.0,321.0
17,23.0,2024,Spain,42.0,ESP,30453.175434974502,0.918,2.5,40.0,383.0
18,24.0,2016,Estonia,1.0,EST,18795.636738292225,0.888,4.1,4.666666666666667,46.0
19,25.0,2021,Estonia,6.0,EST,23106.225639645323,0.901,4.2,3.6666666666666665,33.0
20,27.0,2016,Finland,1.0,FIN,47469.20259062705,0.938,3.1,5.666666666666667,54.0
21,28.0,2021,Finland,2.0,FIN,48231.53316027163,0.947,3.1,4.666666666666667,45.0
22,30.0,2016,France,100.0,FRA,40845.80981365053,0.901,2.9,86.0,392.0
23,31.0,2021,France,85.0,FRA,39920.87118668665,0.909,2.8,90.66666666666667,398.0
24,32.0,2024,France,154.0,FRA,42167.1767559454,0.92,3.0,90.66666666666667,571.0
28,36.0,2016,Hungary,50.0,HUN,13456.266151231424,0.847,6.6,45.333333333333336,154.0
29,37.0,2021,Hungary,51.0,HUN,16185.25365109005,0.857,6.2,43.666666666666664,166.0
30,38.0,2024,Hungary,50.0,HUN,19053.34368203365,0.87,5.4,51.666666666666664,180.0
31,39.0,2016,Ireland,4.0,IRL,55905.258420444196,0.931,1.2,5.333333333333333,76.0
32,40.0,2021,Ireland,12.0,IRL,80342.44248906938,0.948,0.9,6.0,116.0
33,41.0,2024,Ireland,23.0,IRL,99926.69875786411,0.949,1.0,8.666666666666666,133.0
34,45.0,2016,Italy,70.0,ITA,34306.07548045305,0.889,1.6,73.33333333333333,309.0
35,46.0,2021,Italy,90.0,ITA,33413.124809998,0.899,1.8,69.0,384.0
36,47.0,2024,Italy,101.0,ITA,35915.839462636126,0.915,1.7,76.33333333333333,403.0
38,51.0,2016,Lithuania,5.0,LTU,15160.169828478423,0.869,2.0,10.0,67.0
39,52.0,2021,Lithuania,2.0,LTU,19021.206192925325,0.888,2.4,8.666666666666666,42.0
40,53.0,2024,Lithuania,6.0,LTU,24292.724286834553,0.895,2.4,7.0,50.0
41,60.0,2016,Norway,4.0,NOR,94551.60510541392,0.959,3.6,21.666666666666668,62.0
47,66.0,2016,Poland,22.0,POL,13402.282386644074,0.879,2.2,24.0,234.0
48,67.0,2021,Poland,35.0,POL,15399.25081495085,0.88,2.4,23.333333333333332,210.0
49,68.0,2024,Poland,18.0,POL,18955.728955127597,0.906,2.8,25.666666666666668,210.0
53,72.0,2016,Romania,9.0,ROU,9359.104083897368,0.823,1.8,34.333333333333336,95.0
54,73.0,2021,Romania,11.0,ROU,12326.144468339724,0.832,1.8,18.666666666666668,101.0
55,74.0,2024,Romania,25.0,ROU,15507.8104645779,0.845,2.0,14.0,106.0
62,84.0,2016,Sweden,25.0,SWE,57343.94219463717,0.945,3.0,16.0,150.0
63,85.0,2021,Sweden,27.0,SWE,52977.39218889823,0.951,3.3000000000000003,16.0,134.0
64,86.0,2024,Sweden,31.0,SWE,56173.1876925725,0.959,2.9,22.666666666666668,128.0
65,,2016,United States,278.0,USA,54252.16,0.928,0.17784383734268222,284.0,555.0
66,,2021,United States,254.0,USA,63138.21,0.928,0.17372003551346554,302.3333333333333,620.0
67,,2024,United States,277.0,USA,73968.61,0.928,0.1507497488779505,313.3333333333333,591.0
