,Unnamed: 0,Year,Country,Score,Country Code,PIB_mean,HDI,Dépenses,Team,PIB,Dépenses_volume
3,3,2016.0,Austria,1.0,AUT,48446.49019356255,0.919,2.5,Austria,318.0072,7.9501800000000005
4,4,2021.0,Austria,12.0,AUT,49240.05554679985,0.925,2.5,Austria,359.7171,8.9929275
5,5,2024.0,Austria,13.0,AUT,52643.84191761055,0.93,2.4,Austria,421.7896,10.1229504
6,6,2016.0,Belgium,16.0,BEL,45182.08720745595,0.933,2.7,Belgium,381.1002,10.2897054
7,7,2021.0,Belgium,20.0,BEL,46036.36107560797,0.939,2.5,Belgium,448.373,11.209325
8,8,2024.0,Belgium,23.0,BEL,50769.2180007077,0.951,2.5,Belgium,547.8379,13.695947499999999
15,21,2016.0,Spain,44.0,ESP,28343.87437605855,0.895,2.3,Spain,1213.874,27.919102
16,22,2021.0,Spain,37.0,ESP,29001.05776571585,0.901,2.4,Spain,1339.1816,32.1403584
17,23,2024.0,Spain,42.0,ESP,30453.175434974502,0.918,2.5,Spain,1772.9344,44.32336
18,24,2016.0,Estonia,1.0,EST,18795.636738292225,0.888,4.1,Estonia,29.2015,1.1972615
19,25,2021.0,Estonia,6.0,EST,23106.225639645323,0.901,4.2,Estonia,37.5677,1.5778434000000001
21,27,2016.0,Finland,1.0,FIN,47469.20259062705,0.938,3.1,Finland,170.1131,5.2735061000000005
22,28,2021.0,Finland,2.0,FIN,48231.53316027163,0.947,3.1,Finland,200.7213,6.2223603
24,30,2016.0,France,100.0,FRA,40845.80981365053,0.901,2.9,France,1987.5494,57.6389326
25,31,2021.0,France,85.0,FRA,39920.87118668665,0.909,2.8,France,2272.6758,63.634922399999994
26,32,2024.0,France,154.0,FRA,42167.1767559454,0.92,3.0,France,2678.5369,80.35610700000001
33,39,2016.0,Ireland,4.0,IRL,55905.258420444196,0.931,1.2,Ireland,241.5633,2.8987595999999995
34,40,2021.0,Ireland,12.0,IRL,80342.44248906938,0.948,0.9,Ireland,381.0925,3.4298325
35,41,2024.0,Ireland,23.0,IRL,99926.69875786411,0.949,1.0,Ireland,450.2854,4.502854
39,45,2016.0,Italy,70.0,ITA,34306.07548045305,0.889,1.6,Italy,1690.5546,27.0488736
40,46,2021.0,Italy,90.0,ITA,33413.124809998,0.899,1.8,Italy,1879.3694,33.8286492
41,47,2024.0,Italy,101.0,ITA,35915.839462636126,0.915,1.7,Italy,2292.1515,38.9665755
45,51,2016.0,Lithuania,5.0,LTU,15160.169828478423,0.869,2.0,Lithuania,61.5078,1.230156
46,52,2021.0,Lithuania,2.0,LTU,19021.206192925325,0.888,2.4,Lithuania,82.1767,1.9722407999999998
47,53,2024.0,Lithuania,6.0,LTU,24292.724286834553,0.895,2.4,Lithuania,100.288,2.4069119999999997
